experiment_mode,seed,delta,filter,failed,failure_message,number_of_updates,final_time,armse_post_update,mean_nees,median_nees,mean_nis,median_nis,mean_covariance_trace,median_covariance_trace,mean_covariance_condition,median_covariance_condition,mean_iterations_used,max_iterations_used,mean_roundtrip_relative_error,max_roundtrip_relative_error,measurement_model,state_dimension,measurement_dimension
fixed_updates,1185,0.2,SR-EKF,0,,5,1.0,1.5037923763329213,2371767.699150603,661927.0343059724,4916201.1228636345,14772.462600585051,4.214902176083364e-06,2.2459733640163127e-06,11.75491885298195,2.0080217913005294,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1185,0.2,IDEKF,0,,5,1.0,1.9350242262897968,2880267.146523651,72103.43837590743,1862225.1950309959,1830.935245509455,1.2253753511644806e-05,1.51212256157131e-05,13.858351802766716,11.901248345554624,5.0,5,4.6261818653540934e-17,2.0216589586325435e-16,nonlin_cubic,2,2
fixed_updates,1186,0.2,EKF,0,,5,1.0,2.9110398680709477,18530570.96237623,5215267.030823488,37793173.06918481,336319.19757433806,1.7955084513573328e-06,1.823575175781557e-06,2.4059797090849933,2.097074450620608,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1186,0.2,SR-EKF,0,,5,1.0,2.911039868083979,18530570.9636225,5215267.030824412,37793173.06922962,336319.1975743831,1.7955084513439242e-06,1.823575175784762e-06,2.4059797090730517,2.0970744506237065,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1186,0.2,IDEKF,0,,5,1.0,3.824004491134472,17596895.64844816,2931472.889588656,17741570.76847935,133923.60195770193,7.83426595016677e-06,7.404855453107009e-06,12.124431826675167,7.9720911395268494,5.0,5,9.894675647728345e-18,2.9143197404450333e-17,nonlin_cubic,2,2
fixed_updates,1187,0.2,EKF,0,,5,1.0,1.4665864734572105,2058679.5493084192,2115255.5344609795,1593394.2134549527,18073.9095698657,2.670291216725592e-06,2.7118464643173773e-06,4.927058336868585,3.8655218807128824,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1187,0.2,SR-EKF,0,,5,1.0,1.4665864734313367,2058679.5495048775,2115255.5360096246,1593394.213399978,18073.90956363078,2.6702912159834003e-06,2.7118464648044035e-06,4.92705836674276,3.8655218814933945,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1187,0.2,IDEKF,0,,5,1.0,1.187020415546692,1566739.5846697045,2014532.9163977345,382762.29200037953,1149.4268977516144,1.578601449233389e-05,1.670275050556718e-05,24.05931691961281,20.15064180757003,5.0,5,5.828639480890066e-18,2.9143197404450333e-17,nonlin_cubic,2,2
fixed_updates,1188,0.2,EKF,0,,5,1.0,3.366724779698473,5104768.0766981905,2020575.8703981822,14974644.889593314,180452.2909651486,5.605107740502015e-06,1.8605669315140783e-06,21.293480922262415,1.4190083877597803,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1188,0.2,SR-EKF,0,,5,1.0,3.366724779544741,5104768.076668391,2020575.870215011,14974644.889696768,180452.29096548157,5.605107740618388e-06,1.8605669315178726e-06,21.29348091927853,1.4190083877582487,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1188,0.2,IDEKF,0,,5,1.0,3.4336110072604327,54905367.61841021,1954576.8417180413,7580980.198847933,81467.97313012,9.454293542652707e-06,8.496120854037867e-06,18.954148686747967,9.203357849293313,5.0,5,2.461577828821855e-17,6.990459437080555e-17,nonlin_cubic,2,2
fixed_updates,1189,0.2,EKF,0,,5,1.0,1.065648096417601,1254708.585573142,1182370.3744300408,556784.45494859,71193.71344137732,3.4564320037794094e-06,2.3755770025937743e-06,6.919540565399184,4.389756740678893,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1189,0.2,SR-EKF,0,,5,1.0,1.0656480966792088,1254708.587193509,1182370.374429901,556784.4550227547,71193.71344142193,3.456431998086369e-06,2.37557697487665e-06,6.919540905027046,4.389756740677448,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1189,0.2,IDEKF,0,,5,1.0,0.8288893500813911,6298844129.597495,583895.7905913204,13940.740748991037,9447.333895154337,1.684020633628511e-05,1.653313043320753e-05,84.8733127924758,35.880568876259325,5.0,5,2.5974173230324437e-17,1.0072766874717186e-16,nonlin_cubic,2,2
fixed_updates,1190,0.2,EKF,0,,5,1.0,1.8526700173013173,3928342.155478065,1567600.739709682,3823569.289309985,56806.049373070964,1.5790370795096226e-06,1.5852459633556387e-06,23.352604782098012,1.631369279241158,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1190,0.2,SR-EKF,0,,5,1.0,1.8526700173267225,3928342.236555309,1567600.7396518413,3823569.2893070346,56806.04937095274,1.579037034210112e-06,1.5852459633800832e-06,23.352812472789747,1.6313692792406342,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1190,0.2,IDEKF,0,,5,1.0,2.499448311379606,5222856.6002063695,501855.12880263093,96562169210.82042,26212.235163263107,2.5425516217917396e-05,7.018515503483699e-06,22.87190941818836,8.691942886507437,5.0,5,2.158103385782261e-17,4.2528623870763615e-17,nonlin_cubic,2,2
fixed_updates,1191,0.2,EKF,0,,5,1.0,2.391430249144594,7565185.471383398,2811927.3113893415,196404.62521812433,105793.54272574952,2.0786484131773086e-06,1.625079361995056e-06,2.8430426086824685,1.8855408031480672,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1191,0.2,SR-EKF,0,,5,1.0,2.3914302491448844,7565185.471388434,2811927.311390014,196404.62521830702,105793.54272577584,2.078648413173274e-06,1.625079361994347e-06,2.8430426086778118,1.8855408031498475,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1191,0.2,IDEKF,0,,5,1.0,2.428824204360515,4795191.462384065,2668586.040547325,82540.492444824,40974.428818402426,9.867643698058815e-06,8.142673256951333e-06,11.360514304590769,9.035545655743245,5.0,5,4.5362845746851404e-17,8.985895205453097e-17,nonlin_cubic,2,2
fixed_updates,1192,0.2,EKF,0,,5,1.0,1.745489769594335,2851156.5211954475,1835185.6214475483,1697221.7503632796,128001.40108745595,2.2323619689677717e-06,2.1142197489411655e-06,8.993189941756075,2.5770113413169518,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1192,0.2,SR-EKF,0,,5,1.0,1.7454897703417873,2851156.47878736,1835185.6214479767,1697221.7507450946,128001.40108749628,2.2323619981026646e-06,2.1142197489405285e-06,8.993166043755995,2.577011341316835,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1192,0.2,IDEKF,0,,5,1.0,2.2362953358403934,4042875.2626609453,1070872.157816953,301523735048.9403,158389.10732694785,3.686924129291413e-05,1.8753297033787637e-05,32.924660145235705,16.630586578607293,5.0,5,2.8041037032150867e-17,1.11061987756304e-16,nonlin_cubic,2,2
fixed_updates,1193,0.2,EKF,0,,5,1.0,10.66011706000768,39018839102.388664,9414181.600999212,1986444660747876.5,2324990.097201922,2.6898233767918786e-06,1.7711021399887357e-06,13.865734531738113,4.389756740678893,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1193,0.2,SR-EKF,0,,5,1.0,4.375835572428248,9614922337.444143,9414181.600937733,1978479474750433.5,2324990.0971905193,1.6079727582356757e-06,1.625079361994347e-06,5052.315605008593,4.389756740677448,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1193,0.2,IDEKF,0,,5,1.0,7.815044188704149,37863569820.08403,8210473.028027262,2041610622229792.8,834182.9038432435,8.830721542471329e-06,1.242207828464689e-05,444.65419083822627,12.1119494668511,5.0,5,1.9518574252001093e-17,6.844967385555513e-17,nonlin_cubic,2,2
fixed_updates,1194,0.2,EKF,0,,5,1.0,4.029097493918083,354452014.85714024,11105066.17633541,2610498.4802890886,18872.164916521946,1.13814353878333e-06,1.454948401778798e-06,8.08356093314886,1.5096351155606333,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1194,0.2,SR-EKF,0,,5,1.0,4.029097492782711,354452014.1110319,11105066.176343465,2610498.480295703,18872.164916525886,1.1381435389138587e-06,1.4549484017768924e-06,8.083560942394389,1.5096351155559178,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1194,0.2,IDEKF,0,,5,1.0,3.592410032072502,18155432.518214945,10315824.549883438,1045648.5992960904,11006.43252671163,6.7064511008349265e-06,6.9351889318655e-06,9.645407213215837,6.618440806333737,5.0,5,3.079257120012871e-17,7.461200690714765e-17,nonlin_cubic,2,2
fixed_updates,1195,0.2,EKF,0,,5,1.0,3.4784510865529374,33031380.523662947,31371856.454061564,2404350.3816048778,726915.5108705031,9.63695023509861e-07,7.060187112407855e-07,3.005225953115997,3.5070575581955357,nan,nan,nan,nan,nonlin_cubic,2,2
