experiment_mode,delta,seed,EKF_ARMSE,SR_EKF_ARMSE,IDEKF_ARMSE,EKF_minus_IDEKF,SR_EKF_minus_IDEKF,IDEKF_beats_EKF,IDEKF_beats_SR_EKF
fixed_horizon,0.1,1040,2.6157860719170287,1.9948557973056862,2.3127180227027773,0.30306804921425146,-0.3178622253970911,1,0
fixed_horizon,0.1,1041,2.6309158339594183,2.538412488550797,2.5681936268232652,0.06272220713615306,-0.02978113827246842,1,0
fixed_horizon,0.1,1042,1.4786441726634136,1.4390355481789798,1.124614311348654,0.35402986131475966,0.31442123683032586,1,1
fixed_horizon,0.1,1043,2.140094033720189,1.6176675389254913,2.338676282845164,-0.19858224912497535,-0.7210087439196728,0,0
fixed_horizon,0.1,1044,3.914766940151233,2.4055018487982958,3.0693761350253497,0.8453908051258834,-0.6638742862270539,1,0
fixed_horizon,0.1,1045,1.7656920479557834,1.5943868553499454,7.570249958539087,-5.804557910583304,-5.975863103189141,0,0
fixed_horizon,0.1,1046,1.6809833452035778,1.5757976506595903,11.664678866522852,-9.983695521319275,-10.088881215863262,0,0
fixed_horizon,0.1,1047,0.9038686147275183,0.9038561734579446,1.028591611543219,-0.12472299681570065,-0.12473543808527443,0,0
fixed_horizon,0.1,1048,1.6153241106082847,1.0783731087600439,1.8123918661682907,-0.197067755560006,-0.7340187574082468,0,0
fixed_horizon,0.1,1049,1.5817201183344674,1.5587337987406198,2.4271330081886173,-0.84541288985415,-0.8683992094479975,0,0
fixed_horizon,0.1,1050,1.818629365823591,1.6604852904380185,2.8043797092812484,-0.9857503434576573,-1.1438944188432298,0,0
fixed_horizon,0.1,1051,1.105845104480005,1.561658978681682,1.7072606477687007,-0.6014155432886956,-0.14560166908701877,0,0
fixed_horizon,0.1,1052,3.4769278649361337,3.634934683158924,2.454065802919276,1.0228620620168578,1.180868880239648,1,1
fixed_horizon,0.1,1053,2.1785141507459262,1.7675370398704202,1.9855973615740117,0.19291678917191457,-0.21806032170359146,1,0
fixed_horizon,0.1,1054,2.203397899884318,1.3668708839041988,2.9616034188711406,-0.7582055189868226,-1.594732534966942,0,0
fixed_horizon,0.1,1055,1.7295076303811798,1.5971067963509549,2.1246249583080568,-0.3951173279268769,-0.5275181619571019,0,0
fixed_horizon,0.1,1056,3.5249606117621033,2.9992259237402767,1.7822702590307904,1.742690352731313,1.2169556647094864,1,1
fixed_horizon,0.1,1057,2.217333274947098,3.4480737944559174,2.4960759356714948,-0.2787426607243968,0.9519978587844227,0,1
fixed_horizon,0.1,1058,2.8262759878558152,1.9887489522860868,2.9675594073660028,-0.14128341951018752,-0.9788104550799159,0,0
fixed_horizon,0.1,1059,2.5240971924994478,2.523515928360762,1.945792688828096,0.5783045036713517,0.5777232395326661,1,1
fixed_horizon,0.1,1060,21.058859108861643,1.6159861809660496,2.29504671778638,18.763812391075263,-0.6790605368203302,1,0
fixed_horizon,0.1,1061,2.2350874324236263,2.21290542751617,2.6449676468709025,-0.4098802144472762,-0.4320622193547323,0,0
fixed_horizon,0.1,1062,2.2872575551616254,1.6915688426043332,1.544682406793007,0.7425751483686185,0.1468864358113262,1,1
fixed_horizon,0.1,1063,1.4405863898000126,2.2783708040909545,1.355168465084556,0.08541792471545673,0.9232023390063986,1,1
fixed_horizon,0.1,1064,1.240934280617029,1.2272776551731726,2.6216497039048456,-1.3807154232878167,-1.394372048731673,0,0
fixed_horizon,0.1,1065,3.6743867700185606,3.666933464241927,3.0399791315272666,0.634407638491294,0.6269543327146603,1,1
fixed_horizon,0.1,1066,1.851418131656723,1.8160580986552737,2.572905577976099,-0.7214874463193759,-0.7568474793208253,0,0
fixed_horizon,0.1,1067,9.166046851437848,3.4889054787905027,6.387820891149717,2.7782259602881307,-2.8989154123592145,1,0
