seed,delta,case,measurement,sigma,Rmode,metric,include_initial,truth_noise,truth_qscale,P0_scale,x0_perturb,EKF_armse,EKF_time,EKF_failed,EKF_failure_message,SR-EKF_armse,SR-EKF_time,SR-EKF_failed,SR-EKF_failure_message,IDEKF_armse,IDEKF_time,IDEKF_failed,IDEKF_failure_message,SR_minus_IDEKF,IDEKF_percent_improvement_over_SR,IDEKF_beats_SR,EKF_minus_IDEKF
11,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,2.07259807079,2.03688437497,0,,0.316010862899,2.19240266696,0,,1.98732635001,1.29138762498,0,,-1.67131548711,-528.879125161,0,0.0852717207819
12,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.69712001881,1.42794362496,0,,1.88147688889,1.317063583,0,,0.674672348631,1.22974279104,0,,1.20680454026,64.1413427603,1,1.02244767018
13,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.603346803448,1.45910229202,0,,0.32787159399,1.32206204202,0,,0.329007464957,1.21044612495,0,,-0.00113587096715,-0.346437748181,0,0.27433933849
14,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.15285090823,1.43965554202,0,,0.320067407864,1.35032883304,0,,2.39365155712,1.46180037502,0,,-2.07358414926,-647.85857551,0,-1.24080064889
15,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.390880699848,1.360119875,0,,0.324757871992,1.33853004198,0,,0.42917272832,1.28457354102,0,,-0.104414856327,-32.1516013413,0,-0.0382920284719
16,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,2.61155092109,1.35543599998,0,,0.336603000573,1.32200320798,0,,0.839330998539,1.290053292,0,,-0.502727997966,-149.353391714,0,1.77221992255
17,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.528177804197,1.55088249996,0,,0.290878666472,1.43301024998,0,,2.45357431968,1.40689954202,0,,-2.16269565321,-743.504389458,0,-1.92539651549
18,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,2.28824581554,1.583331584,0,,0.299412817978,1.38756150001,0,,0.303124590398,1.27142883302,0,,-0.00371177242002,-1.23968387362,0,1.98512122515
19,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.37955220835,1.36145879095,0,,0.287777312915,1.340864625,0,,2.67051351856,1.31994470803,0,,-2.38273620564,-827.979169554,0,-1.29096131021
20,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.325567207989,1.35499529197,0,,0.30580549043,1.34915229102,0,,1.30107657796,1.331938583,0,,-0.995271087534,-325.458868032,0,-0.975509369975
21,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,2.47962908309,1.48948875,0,,0.324381129369,1.38988670899,0,,0.336470749616,1.24232879101,0,,-0.012089620247,-3.72698013305,0,2.14315833348
22,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,2.37445209287,1.40960779204,0,,0.316850466467,1.33103662496,0,,0.338484157062,1.228094541,0,,-0.0216336905949,-6.82772881358,0,2.03596793581
23,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.295692984583,1.26543066697,0,,0.277860541266,1.29065854201,0,,2.00959657781,1.28555412497,0,,-1.73173603654,-623.23927991,0,-1.71390359322
24,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.524251887055,1.47296708298,0,,0.314720068399,1.40294591599,0,,0.323647695542,1.23419975,0,,-0.00892762714314,-2.83668823172,0,0.200604191513
25,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.572060678269,1.26138295798,0,,0.30633393048,1.353595583,0,,0.302251358842,1.28971762501,0,,0.00408257163798,1.33271937313,1,0.269809319428
26,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.549074167455,1.37422204198,0,,0.313785434492,1.46202575002,0,,0.738169641113,1.35085137503,0,,-0.424384206621,-135.246623957,0,-0.189095473658
27,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,2.07127465359,1.55459887505,0,,0.293623470442,1.28841608402,0,,0.303604419315,1.21214099997,0,,-0.00998094887321,-3.39923401157,0,1.76767023427
