split,delta,filter,runs,failures,mean_ARMSE,median_ARMSE,ARMSE_90,ARMSE_95,mean_predicted_ARMSE,mean_posterior_NEES,median_posterior_NEES,mean_predicted_NEES,mean_NIS,strong_direction_RMSE,weak_direction_RMSE,mean_strong_variance,mean_weak_variance,mean_trace_contraction,mean_whitened_H_condition,mean_information_condition,mean_correction_norm
validation,0.1,ID_p10_r0.5_w10_post1,50,0,622844.8970261187,609157.8372002009,819224.2545856539,849109.0733806475,595301.7599891986,24203467851995.395,435022457.8428222,164251450627288.66,2338194592156.0176,29.14251355860421,622844.8675308112,4.4292423523668876e-05,3363.3419955678637,10.728264512744584,65412539.74080203,7046818842357469.0,250065.5534486376
validation,0.1,ID_p10_r0.5_w10_post3,50,0,206504.7557068011,214148.46508545656,262744.5581758994,267312.8696568372,200392.51155904977,9135474064164.719,1422690330.3054295,45017486265484.375,914530384859.853,32.80655200672364,206504.74703315782,0.0001248719069364977,11523.107643555908,26.306970783868692,78186796.84565778,7233511716229740.0,108960.85925583096
validation,0.1,ID_p10_r0.5_w1_post1,50,0,973460.3999786999,6.567093333923106,3275407.4713912136,3487055.4596611816,931597.8196400374,52575509382215.24,53291.33524015345,99445009451098.4,4463475892257.494,14.83748839070841,973459.7700725513,0.00010771634701157916,1168.5534336552637,3.1757681921681375,25783524.88015344,1543884534312849.5,380619.77900220454
validation,0.1,ID_p10_r0.5_w1_post3,50,0,405048.118192879,415952.4775569438,599463.4159717893,1116186.4555750883,394076.94601346384,7736806076693.341,11573382.04270263,115459888772007.45,747665020143.6765,24.216138589727944,405047.96964603924,0.00021147059054415801,7684.907013863117,6.042686773521292,49931027.978974454,3921694956518246.5,170598.6648626406
validation,0.1,ID_p10_r1_w0_post1,50,0,3.845140646218114,2.829844673647835,7.49776604267905,8.11157579371967,3.3646861853808234,28544609370.57458,14592.39210670168,284718375346.794,498272.4352667323,2.634360898384992,2.594154961125696,0.000267307375990185,0.00013132871137582047,2.5904282492040056,170529.2518621706,278769468301.30444,1.5530369341287686
validation,0.1,ID_p10_r1_w0_post3,50,0,4.182501943427095,2.985135135402208,7.889802650821863,10.02818039052539,3.683359017457974,10383888520.2731,5259.858313346244,308182380522.0952,435061.1235831433,2.9064984975392374,2.8182305636329352,0.0008123056331265326,0.0004036884952140828,5.118875951557302,210686.79569663067,653117841721.7993,1.6741854792968054
validation,0.1,ID_p10_r1_w10_post1,50,0,600320.2904554628,596964.2617278598,860143.5535251971,871123.7835370102,581645.0668623938,9774280060037.865,73598137.4660405,64766975051517.96,947277557207.0925,27.64292209280521,600320.2893654351,9.536811784469242e-05,6535.630463912533,11.07910636437873,50892124.359230794,3712632328589047.5,230460.68283555494
validation,0.1,ID_p10_r1_w10_post3,50,0,215638.51772692878,219779.25486089633,272561.6719828615,281882.73257982056,206200.77302989952,5684625685496.831,1440627139.866558,46266774606178.34,584647301617.0415,37.993180787190575,215638.510052814,0.00021510976772263858,23537.00029133963,22.303921691593942,95839873.45725235,6174031928046444.0,114562.95386425573
validation,0.1,ID_p10_r1_w1_post1,50,0,890370.5811183485,425404.5781201122,2389170.124555403,3165052.124376584,837072.6124543517,15064682346878.855,49534.819990340424,54112390058563.76,778326618745.5061,14.984149023476295,890370.0742849713,0.0002046760936359289,2741.992577429511,2.8725406055403924,23202576.660282493,3201088543379703.5,315211.32415939093
validation,0.1,ID_p10_r1_w1_post3,50,0,563396.4536411474,413274.6506118978,775792.371516284,1340786.1040649645,551757.5807127734,1112803770109719.5,11037141.413129743,1139904506519386.0,123563023176286.02,101.60387265618812,563396.2624801912,0.00044293174442106015,14319.538533549126,6.44031692670525,18316794045.588432,2258601407230950.0,223470.23956517782
validation,0.1,ID_p10_r2_w0_post1,50,0,5.27227176178937,2.9097691479808936,7.496819032731315,9.789883156464793,5.57051701864297,58815955207543.66,12568.009965018151,281488647352.33,482457.46204929554,3.6188611522611094,3.6431450544177646,0.0005109635756659393,0.00017173499871300947,2.725902480907737,3440319.077222737,244378866137.62323,1.638360908570678
validation,0.1,ID_p10_r2_w0_post3,50,0,4.09585880761169,3.043555545246809,7.922221690188066,9.189606028714337,3.55787820918974,10361417029.541994,4998.761263635284,309961851820.1741,398896.4371491015,2.8193588114666728,2.7861013458379267,0.0016554930660054078,0.0005358206232790654,5.35266931392468,194158.80380137672,467045414563.0217,1.6160186874647653
validation,0.1,ID_p10_r2_w10_post1,50,0,605522.3683494081,604878.7148055774,766784.5625599065,839896.4906545659,585753.3111012862,5144174881537.261,125334286.90928128,61249362498560.39,521663773818.69275,28.37646836948214,605522.3672928037,0.00016537652920352083,12883.325327105478,11.188995214525837,53173286.85614445,9298223446117630.0,229630.77506970547
validation,0.1,ID_p10_r2_w10_post3,50,0,220823.60512924727,233050.6622373287,268323.2553027755,273258.3379687656,213083.95875789574,2256076317581.2554,766418379.3559211,18150089388197.664,238685802272.27014,34.40764938046656,220823.60202899206,0.0003864074525743088,48729.627100693426,16.55796302046965,77408548.85733345,8416328976973583.0,118127.85417320507
validation,0.1,ID_p10_r2_w1_post1,50,0,562966.8988180713,5.229762262705222,2303979.2567815217,3250185.0752842347,557396.5027514128,1625179767903.407,14688.432556563923,10733566355481.703,136957246298.4192,8.308661611928477,562965.9632048722,0.00045689197598544943,3416.732078765203,3.359625598018052,7845653.40053046,520358109869078.06,226813.71154099028
