split,seed,delta,filter,failed,failure_message,posterior_ARMSE,predicted_ARMSE,mean_posterior_NEES,median_posterior_NEES,mean_predicted_NEES,mean_NIS,strong_direction_RMSE,weak_direction_RMSE,mean_strong_variance,mean_weak_variance,mean_trace_contraction,mean_whitened_H_condition,mean_information_condition,mean_correction_norm,name,prior_scale,r_scale,weak_inflation,posterior_scale
tuning,4021,0.1,ID_p1_r0.5_w1_post1,0,,3.063347373936446,2.7723524344397017,637474.8832974668,13202.852058903618,482250.6751534239,25642.1565620616,1.1758110437495541,2.828703859155268,6.745385220589376e-05,0.8176447793324237,0.6003178994947252,112527.90592946924,37444870992.388084,1.5919970165271362,ID_p1_r0.5_w1_post1,1.0,0.5,1.0,1.0
tuning,4021,0.1,ID_p1_r0.5_w1_post3,0,,5812492.028005334,5812332.138149685,14523831710474.938,1759319391.2339551,14499837666187.574,1445048327566.3525,31.59334599477382,5812492.027919473,8.829517425169948e-05,7008.101246826724,1.070883586027111,48616604.891486794,5117509467598418.0,1304870.6577980577,ID_p1_r0.5_w1_post3,1.0,0.5,1.0,3.0
tuning,4021,0.1,ID_p1_r0.5_w10_post1,0,,2.3023028337585947,2.479192970128608,263415.6957817114,7598.026823224025,519271458890.1781,194556.2258554315,0.7593932186185104,2.1734581380484594,8.906417980013728e-05,0.9751709145303163,2.9078540531691557,74157.9941881515,6675516941.21722,0.6823447755554823,ID_p1_r0.5_w10_post1,1.0,0.5,10.0,1.0
tuning,4021,0.1,ID_p1_r0.5_w10_post3,0,,167161.41161778878,167159.8041971574,959793542.8677648,704460.3423763133,1081312833.9513488,63144577.472119965,5.125016488180439,167161.41153922465,0.00019906336158885454,8669.541558497467,2.728072879315134,858966.7723356619,3041764980631.9272,59715.0891250576,ID_p1_r0.5_w10_post3,1.0,0.5,10.0,3.0
tuning,4021,0.1,ID_p1_r1_w0_post3,0,,1.7907240233730284,2.0158407207724354,107432350414.06155,15340.251137367479,322297010082.55273,62712.42823350874,0.79139067929501,1.6063602711130118,0.00042685832598040344,0.00011283939734272484,1.7612629573647975,86411.2085955549,22665620255.45453,0.3166942135910731,ID_p1_r1_w0_post3,1.0,1.0,0.0,3.0
tuning,4021,0.1,ID_p1_r1_w1_post1,0,,1.2681484316253595,1.7229157241864264,43597.16763885718,7970.763775374778,6160945.780241857,29264.59474413118,0.8951301588746743,0.8982997513674706,0.0001180212473179085,0.0024096990698258183,0.8274205632203403,61686.76929454467,4544996477.324315,0.659621494075882,ID_p1_r1_w1_post1,1.0,1.0,1.0,1.0
tuning,4021,0.1,ID_p1_r1_w1_post3,0,,3.0159083982755197,2.950365764976967,508535.90425315563,2487.050274776089,377934170114.5758,166469.80753017665,1.0829703479458366,2.8147608588046844,0.0005290973930722768,6.378031649748139,1.2860641503455033,87752.26973686262,10306662672.14412,1.0744302104432457,ID_p1_r1_w1_post3,1.0,1.0,1.0,3.0
tuning,4021,0.1,ID_p1_r1_w10_post1,0,,867878.2298617662,850673.9164581938,80949705095.4813,10905571835.87809,14851758440.113857,1678824308.2405171,10.980803028369628,867878.2297922991,3.5093520513007476e-05,3418.6508976367477,1.9733001329550781,3242292.2298673275,44471392479394.7,116115.62204230724,ID_p1_r1_w10_post1,1.0,1.0,10.0,1.0
tuning,4021,0.1,ID_p1_r1_w10_post3,0,,1205030.7743885713,686555.8476011126,1045244118094.224,80914.25630626097,950710699338.5254,88169989260.58383,18.030004292889423,1205030.7742536864,0.0003535205363158926,15658.54225184361,4.228385535576247,16964621.391411714,901749954114559.2,240865.71790368902,ID_p1_r1_w10_post3,1.0,1.0,10.0,3.0
tuning,4021,0.1,ID_p1_r2_w0_post1,0,,1.782119495213693,1.864707979616363,4464656008.912252,83820.41004331532,4464659774.531568,85844.22029141577,1.1274836166253996,1.3801197735928636,7.351596477914964e-05,3.776795928023097e-05,0.8653452151595291,58693.819160893894,4048916147.064463,0.19577415181364774,ID_p1_r2_w0_post1,1.0,2.0,0.0,1.0
tuning,4021,0.1,ID_p1_r2_w0_post3,0,,1.8106056093556258,1.9984001455712406,112119780945.80428,14492.575687445173,336359329042.578,62204.01481942496,0.8191751226936244,1.61469650120075,0.0008094721207066955,0.00019529843389088026,1.8580771177949174,83960.82366559602,20482257967.108772,0.2806014217783866,ID_p1_r2_w0_post3,1.0,2.0,0.0,3.0
tuning,4021,0.1,ID_p1_r2_w1_post1,0,,1.1957533476486977,1.6883650972202329,27777.306641029718,6804.041582939997,93371.76870938331,19381.600836409034,0.8120981833486568,0.877680243035514,0.0001952335762611358,0.0024208309173010647,0.8456940590359844,58275.39280466917,4072196555.6302643,0.5487942322752113,ID_p1_r2_w1_post1,1.0,2.0,1.0,1.0
tuning,4021,0.1,ID_p1_r2_w1_post3,0,,7740740.081589268,7740686.056988624,2639622655307.2695,195900762.11841688,2625152551833.352,243794343301.18646,23.15180448542573,7740740.081554646,0.0005358444308440179,25229.8448191364,1.1094163645605872,22433013.897013515,1612642307885415.0,2066589.9504447035,ID_p1_r2_w1_post3,1.0,2.0,1.0,3.0
tuning,4021,0.1,ID_p1_r2_w10_post1,0,,11721974.424025716,11627791.302668434,5979277507899.447,366982265567.15027,6383740493090.631,450924968412.7752,24.486018001669223,11721974.424000146,6.468668822114329e-05,7437.315809748875,1.8435875511890945,17318909.31968189,1661603801788544.2,2635715.9220450213,ID_p1_r2_w10_post1,1.0,2.0,10.0,1.0
tuning,4021,0.1,ID_p1_r2_w10_post3,0,,2319022.1325408896,2204109.5949296965,98215146971.3217,3436.2350966362137,110858517689.68698,6753659021.785015,10.845519969647743,2319022.1325155287,0.0010290518814166367,8828.56963230049,7.957734996976487,4785272.145339226,169639684089828.5,643587.9611465441,ID_p1_r2_w10_post3,1.0,2.0,10.0,3.0
tuning,4021,0.1,ID_p3_r0.5_w0_post1,0,,1.7348335146313054,2.19119518994596,107611646022.94597,24680.888594591845,322832543671.04114,74105.87372262953,0.7446481174914213,1.5668907123997164,7.896448841733004e-05,4.259287301210135e-05,1.55519618301329,106767.1590022565,50089084737.85084,0.5031734931982725,ID_p3_r0.5_w0_post1,3.0,0.5,0.0,1.0
tuning,4021,0.1,ID_p3_r0.5_w0_post3,0,,2.305662800740828,2.5213515967563174,38532889407.160164,10072.318835927581,346795989594.9713,205385.24965290193,0.8232817666271258,2.1536685175438115,0.00021446624665694825,0.00014309295151855597,2.3912763069526295,79763.75335992596,7974496293.5979,0.7054838017319709,ID_p3_r0.5_w0_post3,3.0,0.5,0.0,3.0
tuning,4021,0.1,ID_p3_r0.5_w1_post1,0,,2.5004315190684445,2.6949208091508368,381070.83466240234,26392.062193701968,476578160659.79803,56387.59953330547,0.751919829697256,2.3846958613749845,4.7819874054404155e-05,0.014747710883996337,1.8181678123453622,89081.186100048,9851966458.585524,0.8345439803709394,ID_p3_r0.5_w1_post1,3.0,0.5,1.0,1.0
tuning,4021,0.1,ID_p3_r0.5_w1_post3,0,,2792353.82480785,2780058.119261028,2549489021795.7144,23402862.010841735,2766515542586.642,171089508342.12772,16.19777788346793,2792353.824760871,5.168527027608784e-05,8652.173725294251,1.9279862722105463,11305566.897206847,839775723672763.2,1136290.4025660811,ID_p3_r0.5_w1_post3,3.0,0.5,1.0,3.0
tuning,4021,0.1,ID_p3_r0.5_w10_post1,0,,383589.9663051607,383587.7160130319,21629385382.659203,1909420.494874434,47449014429.69725,795586101.8138001,6.766548709001349,383589.9662454796,4.2198274284485266e-05,2504.7058339894365,5.269993330859954,1395211.3775788737,9649708191127.625,133891.10598709487,ID_p3_r0.5_w10_post1,3.0,0.5,10.0,1.0
tuning,4021,0.1,ID_p3_r0.5_w10_post3,0,,3.0246352679082764,3.048587293230052,183717.4569722537,3373.4805544767923,982098298811.281,267548.64592828666,2.1692720674957475,2.1077659265338964,0.0003579469252038758,9.36834366190288,30.942513676549122,81330.13084192995,12734623127.751022,1.55448781789295,ID_p3_r0.5_w10_post3,3.0,0.5,10.0,3.0
