split,delta,candidate,paired_runs,mean_SR_minus_candidate,median_SR_minus_candidate,bootstrap_95_low,bootstrap_95_high,candidate_win_rate,sign_flip_p,wilcoxon_p
tuning,0.1,ID_p10_r2_w10_post1,30,-592691.754251932,-614185.1905371753,-652835.6207035758,-525413.490934948,0.0,1.0,1.0
tuning,0.1,ID_p10_r2_w10_post3,30,-203295.97080405665,-199485.56451131916,-220990.75806583875,-182183.401602801,0.0,1.0,1.0
tuning,0.1,ID_p10_r2_w1_post1,30,-1920976.5329898596,-1322759.2760508633,-2619128.061976814,-1246069.8574379291,0.03333333333333333,1.0,0.999999993480742
tuning,0.1,ID_p10_r2_w1_post3,30,-394790.4273714169,-404673.4623033344,-568982.5551821147,-251767.4693296808,0.0,1.0,1.0
tuning,0.1,ID_p1_r0.5_w0_post1,30,13.209499612811445,0.5552048729822043,0.3183601460665063,38.24427595449147,0.6666666666666666,0.006549672516374182,0.02132585272192955
tuning,0.1,ID_p1_r0.5_w0_post3,30,11.727528548483805,-0.39245043224886467,-1.6468020338005533,37.06894065259937,0.3333333333333333,0.37258137093145344,0.7550769560039043
tuning,0.1,ID_p1_r0.5_w10_post1,30,-3817126.517788439,-311206.9619055859,-5579782.517025899,-2209791.772111849,0.16666666666666666,1.0,0.9999991580843925
tuning,0.1,ID_p1_r0.5_w10_post3,30,-1764716.3575017308,-2038054.1614167446,-2366690.668906287,-1225655.952030635,0.03333333333333333,1.0,0.9999999953433871
tuning,0.1,ID_p1_r0.5_w1_post1,30,-1397845.1635143685,-0.25361414438822527,-3813626.159584893,11.453855009214028,0.36666666666666664,0.9166541672916354,0.8553168969228864
tuning,0.1,ID_p1_r0.5_w1_post3,30,-666282.2732972252,-0.998893370172981,-1501685.0781735054,-193.28050067936775,0.26666666666666666,0.9667516624168792,0.9889505729079247
tuning,0.1,ID_p1_r1_w0_post3,30,12.517874476221987,-0.24016216522154643,-0.2766797705435599,37.49032897631633,0.4,0.14099295035248238,0.49191679060459137
tuning,0.1,ID_p1_r1_w10_post1,30,-4573854.533470967,-2856063.7774786423,-6347845.67592133,-2874120.1089255544,0.1,1.0,0.9999996544793248
tuning,0.1,ID_p1_r1_w10_post3,30,-1416963.9188340097,-1562289.8038165907,-1855074.316445438,-1007976.746237558,0.06666666666666667,1.0,0.9999999972060323
tuning,0.1,ID_p1_r1_w1_post1,30,-473720.7508881802,-0.8079687878597109,-1173297.6910987843,-3310.4609314408067,0.26666666666666666,0.9674516274186291,0.9956472683697939
